rank,type,extrapolation_confidence,disease,drug,relation,target_subgroup,expected_information_gain,cost,eig_per_cost,equity_gain,post_mean_majority,post_mean_minority,rationale
261,C,0.400,rosacea,tetracycline,off-label use,IV-VI,0.8758,5.26,0.1664,0.3503,0.528,0.549,Type C: drug-class analogy from demeclocycline (class=J01A). Hypothesis only — class membership ≠ identical efficacy.
262,C,0.400,rosacea,doxycycline,off-label use,IV-VI,0.8758,5.26,0.1664,0.3503,0.528,0.549,Type C: drug-class analogy from demeclocycline (class=J01A). Hypothesis only — class membership ≠ identical efficacy.
263,C,0.400,rosacea,demeclocycline,off-label use,IV-VI,0.8758,5.26,0.1664,0.3503,0.528,0.549,Type C: drug-class analogy from doxycycline (class=J01A). Hypothesis only — class membership ≠ identical efficacy.
264,C,0.400,lyme disease,phenoxymethylpenicillin,off-label use,IV-VI,0.8132,3.85,0.2114,0.3253,0.527,0.542,Type C: drug-class analogy from amoxicillin (class=J01C). Hypothesis only — class membership ≠ identical efficacy.
265,C,0.400,lyme disease,benzylpenicillin,off-label use,IV-VI,0.8132,3.85,0.2114,0.3253,0.527,0.542,Type C: drug-class analogy from amoxicillin (class=J01C). Hypothesis only — class membership ≠ identical efficacy.
266,C,0.400,lyme disease,amoxicillin,off-label use,IV-VI,0.8132,3.85,0.2114,0.3253,0.527,0.542,Type C: drug-class analogy from benzylpenicillin (class=J01C). Hypothesis only — class membership ≠ identical efficacy.
267,C,0.400,lyme disease,ceftriaxone,off-label use,IV-VI,0.8132,3.85,0.2114,0.3253,0.527,0.542,Type C: drug-class analogy from cefotaxime (class=J01D). Hypothesis only — class membership ≠ identical efficacy.
268,C,0.400,lyme disease,cefotaxime,off-label use,IV-VI,0.8132,3.85,0.2114,0.3253,0.527,0.542,Type C: drug-class analogy from ceftriaxone (class=J01D). Hypothesis only — class membership ≠ identical efficacy.
269,C,0.400,acrodermatitis enteropathica,zinc sulfate,off-label use,IV-VI,0.8014,3.57,0.2244,0.3206,0.530,0.540,Type C: drug-class analogy from zinc chloride (class=A12C). Hypothesis only — class membership ≠ identical efficacy.
270,C,0.400,acrodermatitis enteropathica,zinc gluconate,off-label use,IV-VI,0.8014,3.57,0.2244,0.3206,0.530,0.540,Type C: drug-class analogy from zinc chloride (class=A12C). Hypothesis only — class membership ≠ identical efficacy.
271,C,0.400,acrodermatitis enteropathica,zinc chloride,off-label use,IV-VI,0.8014,3.57,0.2244,0.3206,0.530,0.540,Type C: drug-class analogy from zinc gluconate (class=A12C). Hypothesis only — class membership ≠ identical efficacy.
272,C,0.400,neurodermatitis,dexamethasone,indication,IV-VI,0.7055,4.76,0.1481,0.2822,0.948,0.924,Type C: drug-class analogy from betamethasone (class=D07A). Hypothesis only — class membership ≠ identical efficacy.
273,C,0.400,neurodermatitis,fluticasone propionate,indication,IV-VI,0.7055,4.76,0.1481,0.2822,0.948,0.924,Type C: drug-class analogy from betamethasone (class=D07A). Hypothesis only — class membership ≠ identical efficacy.
274,C,0.400,neurodermatitis,fluocinolone acetonide,indication,IV-VI,0.7055,4.76,0.1481,0.2822,0.948,0.924,Type C: drug-class analogy from betamethasone (class=D07A). Hypothesis only — class membership ≠ identical efficacy.
275,C,0.400,neurodermatitis,mometasone furoate,indication,IV-VI,0.7055,4.76,0.1481,0.2822,0.948,0.924,Type C: drug-class analogy from betamethasone (class=D07A). Hypothesis only — class membership ≠ identical efficacy.
276,C,0.400,neurodermatitis,methylprednisolone,indication,IV-VI,0.7055,4.76,0.1481,0.2822,0.948,0.924,Type C: drug-class analogy from cortisone acetate (class=H02A). Hypothesis only — class membership ≠ identical efficacy.
277,C,0.400,neurodermatitis,prednisolone,indication,IV-VI,0.7055,4.76,0.1481,0.2822,0.948,0.924,Type C: drug-class analogy from cortisone acetate (class=H02A). Hypothesis only — class membership ≠ identical efficacy.
278,C,0.400,neurodermatitis,amcinonide,indication,IV-VI,0.7055,4.76,0.1481,0.2822,0.948,0.924,Type C: drug-class analogy from desoximetasone (class=). Hypothesis only — class membership ≠ identical efficacy.
279,C,0.400,neurodermatitis,cortisone acetate,indication,IV-VI,0.7055,4.76,0.1481,0.2822,0.948,0.924,Type C: drug-class analogy from methylprednisolone (class=H02A). Hypothesis only — class membership ≠ identical efficacy.
280,C,0.400,herpes zoster,famciclovir,indication,IV-VI,0.6519,3.45,0.1891,0.2608,0.929,0.934,Type C: drug-class analogy from acyclovir (class=J05A). Hypothesis only — class membership ≠ identical efficacy.
281,C,0.400,herpes zoster,acyclovir,indication,IV-VI,0.6519,3.45,0.1891,0.2608,0.929,0.934,Type C: drug-class analogy from famciclovir (class=J05A). Hypothesis only — class membership ≠ identical efficacy.
282,C,0.400,seborrheic keratosis,amcinonide,indication,IV-VI,0.6430,3.23,0.1993,0.2572,0.948,0.936,Type C: drug-class analogy from allantoin (class=). Hypothesis only — class membership ≠ identical efficacy.
283,C,0.400,lichen planus,methoxsalen,off-label use,IV-VI,0.6017,1.00,0.6017,0.2407,0.524,0.524,Type C: drug-class analogy from acitretin (class=D05B). Hypothesis only — class membership ≠ identical efficacy.
284,C,0.400,lichen planus,acitretin,off-label use,IV-VI,0.6017,1.00,0.6017,0.2407,0.524,0.524,Type C: drug-class analogy from methoxsalen (class=D05B). Hypothesis only — class membership ≠ identical efficacy.
285,C,0.400,psoriasis,calcipotriol,off-label use,IV-VI,0.5977,1.00,0.5977,0.2391,0.522,0.523,Type C: drug-class analogy from anthralin (class=D05A). Hypothesis only — class membership ≠ identical efficacy.
286,C,0.400,psoriasis,anthralin,off-label use,IV-VI,0.5977,1.00,0.5977,0.2391,0.522,0.523,Type C: drug-class analogy from calcipotriol (class=D05A). Hypothesis only — class membership ≠ identical efficacy.
287,C,0.400,erythema multiforme,hydrocortisone acetate,indication,IV-VI,0.5515,1.23,0.4467,0.2206,0.958,0.951,Type C: drug-class analogy from betamethasone (class=D07A). Hypothesis only — class membership ≠ identical efficacy.
288,C,0.400,erythema multiforme,dexamethasone,indication,IV-VI,0.5515,1.23,0.4467,0.2206,0.958,0.951,Type C: drug-class analogy from betamethasone (class=D07A). Hypothesis only — class membership ≠ identical efficacy.
289,C,0.400,erythema multiforme,methylprednisolone,indication,IV-VI,0.5515,1.23,0.4467,0.2206,0.958,0.951,Type C: drug-class analogy from cortisone acetate (class=H02A). Hypothesis only — class membership ≠ identical efficacy.
290,C,0.400,erythema multiforme,prednisone,indication,IV-VI,0.5515,1.23,0.4467,0.2206,0.958,0.951,Type C: drug-class analogy from cortisone acetate (class=H02A). Hypothesis only — class membership ≠ identical efficacy.
291,C,0.400,erythema multiforme,prednisolone,indication,IV-VI,0.5515,1.23,0.4467,0.2206,0.958,0.951,Type C: drug-class analogy from cortisone acetate (class=H02A). Hypothesis only — class membership ≠ identical efficacy.
292,C,0.400,erythema multiforme,cortisone acetate,indication,IV-VI,0.5515,1.23,0.4467,0.2206,0.958,0.951,Type C: drug-class analogy from methylprednisolone (class=H02A). Hypothesis only — class membership ≠ identical efficacy.
293,C,0.400,seborrheic dermatitis,amcinonide,indication,IV-VI,0.5497,1.20,0.4563,0.2199,0.955,0.951,Type C: drug-class analogy from allantoin (class=). Hypothesis only — class membership ≠ identical efficacy.
294,C,0.400,seborrheic dermatitis,dexamethasone,indication,IV-VI,0.5497,1.20,0.4563,0.2199,0.955,0.951,Type C: drug-class analogy from betamethasone (class=D07A). Hypothesis only — class membership ≠ identical efficacy.
295,C,0.400,seborrheic dermatitis,fluticasone propionate,indication,IV-VI,0.5497,1.20,0.4563,0.2199,0.955,0.951,Type C: drug-class analogy from betamethasone (class=D07A). Hypothesis only — class membership ≠ identical efficacy.
296,C,0.400,seborrheic dermatitis,fluocinolone acetonide,indication,IV-VI,0.5497,1.20,0.4563,0.2199,0.955,0.951,Type C: drug-class analogy from betamethasone (class=D07A). Hypothesis only — class membership ≠ identical efficacy.
297,C,0.400,seborrheic dermatitis,mometasone furoate,indication,IV-VI,0.5497,1.20,0.4563,0.2199,0.955,0.951,Type C: drug-class analogy from betamethasone (class=D07A). Hypothesis only — class membership ≠ identical efficacy.
298,C,0.400,seborrheic dermatitis,methylprednisolone,indication,IV-VI,0.5497,1.20,0.4563,0.2199,0.955,0.951,Type C: drug-class analogy from cortisone acetate (class=H02A). Hypothesis only — class membership ≠ identical efficacy.
299,C,0.400,seborrheic dermatitis,prednisolone,indication,IV-VI,0.5497,1.20,0.4563,0.2199,0.955,0.951,Type C: drug-class analogy from cortisone acetate (class=H02A). Hypothesis only — class membership ≠ identical efficacy.
300,C,0.400,seborrheic dermatitis,cortisone acetate,indication,IV-VI,0.5497,1.20,0.4563,0.2199,0.955,0.951,Type C: drug-class analogy from methylprednisolone (class=H02A). Hypothesis only — class membership ≠ identical efficacy.
301,C,0.400,granuloma annulare,amcinonide,indication,IV-VI,0.5489,1.19,0.4610,0.2195,0.956,0.951,Type C: drug-class analogy from ammonium lactate (class=). Hypothesis only — class membership ≠ identical efficacy.
302,C,0.400,granuloma annulare,dexamethasone,indication,IV-VI,0.5489,1.19,0.4610,0.2195,0.956,0.951,Type C: drug-class analogy from betamethasone (class=D07A). Hypothesis only — class membership ≠ identical efficacy.
303,C,0.400,granuloma annulare,fluticasone propionate,indication,IV-VI,0.5489,1.19,0.4610,0.2195,0.956,0.951,Type C: drug-class analogy from betamethasone (class=D07A). Hypothesis only — class membership ≠ identical efficacy.
304,C,0.400,granuloma annulare,fluocinolone acetonide,indication,IV-VI,0.5489,1.19,0.4610,0.2195,0.956,0.951,Type C: drug-class analogy from betamethasone (class=D07A). Hypothesis only — class membership ≠ identical efficacy.
305,C,0.400,granuloma annulare,mometasone furoate,indication,IV-VI,0.5489,1.19,0.4610,0.2195,0.956,0.951,Type C: drug-class analogy from betamethasone (class=D07A). Hypothesis only — class membership ≠ identical efficacy.
306,C,0.400,granuloma annulare,methylprednisolone,indication,IV-VI,0.5489,1.19,0.4610,0.2195,0.956,0.951,Type C: drug-class analogy from cortisone acetate (class=H02A). Hypothesis only — class membership ≠ identical efficacy.
307,C,0.400,granuloma annulare,prednisolone,indication,IV-VI,0.5489,1.19,0.4610,0.2195,0.956,0.951,Type C: drug-class analogy from cortisone acetate (class=H02A). Hypothesis only — class membership ≠ identical efficacy.
308,C,0.400,granuloma annulare,cortisone acetate,indication,IV-VI,0.5489,1.19,0.4610,0.2195,0.956,0.951,Type C: drug-class analogy from methylprednisolone (class=H02A). Hypothesis only — class membership ≠ identical efficacy.
309,C,0.400,keloid,dexamethasone,indication,IV-VI,0.5381,1.02,0.5274,0.2153,0.953,0.953,Type C: drug-class analogy from triamcinolone (class=D07A). Hypothesis only — class membership ≠ identical efficacy.
310,C,0.400,sarcoidosis,hydrocortisone acetate,indication,IV-VI,0.5348,1.00,0.5348,0.2139,0.960,0.953,Type C: drug-class analogy from betamethasone (class=D07A). Hypothesis only — class membership ≠ identical efficacy.
311,C,0.400,sarcoidosis,dexamethasone,indication,IV-VI,0.5348,1.00,0.5348,0.2139,0.960,0.953,Type C: drug-class analogy from betamethasone (class=D07A). Hypothesis only — class membership ≠ identical efficacy.
312,C,0.400,sarcoidosis,methylprednisolone,indication,IV-VI,0.5348,1.00,0.5348,0.2139,0.960,0.953,Type C: drug-class analogy from cortisone acetate (class=H02A). Hypothesis only — class membership ≠ identical efficacy.
313,C,0.400,sarcoidosis,prednisone,indication,IV-VI,0.5348,1.00,0.5348,0.2139,0.960,0.953,Type C: drug-class analogy from cortisone acetate (class=H02A). Hypothesis only — class membership ≠ identical efficacy.
314,C,0.400,sarcoidosis,prednisolone,indication,IV-VI,0.5348,1.00,0.5348,0.2139,0.960,0.953,Type C: drug-class analogy from cortisone acetate (class=H02A). Hypothesis only — class membership ≠ identical efficacy.
315,C,0.400,sarcoidosis,cortisone acetate,indication,IV-VI,0.5348,1.00,0.5348,0.2139,0.960,0.953,Type C: drug-class analogy from methylprednisolone (class=H02A). Hypothesis only — class membership ≠ identical efficacy.
316,C,0.400,contact dermatitis,amcinonide,indication,IV-VI,0.5235,1.00,0.5235,0.2094,0.940,0.955,Type C: drug-class analogy from ammonium lactate (class=). Hypothesis only — class membership ≠ identical efficacy.
317,C,0.400,contact dermatitis,hydrocortisone acetate,indication,IV-VI,0.5235,1.00,0.5235,0.2094,0.940,0.955,Type C: drug-class analogy from betamethasone (class=D07A). Hypothesis only — class membership ≠ identical efficacy.
318,C,0.400,contact dermatitis,dexamethasone,indication,IV-VI,0.5235,1.00,0.5235,0.2094,0.940,0.955,Type C: drug-class analogy from betamethasone (class=D07A). Hypothesis only — class membership ≠ identical efficacy.
319,C,0.400,contact dermatitis,fluticasone propionate,indication,IV-VI,0.5235,1.00,0.5235,0.2094,0.940,0.955,Type C: drug-class analogy from betamethasone (class=D07A). Hypothesis only — class membership ≠ identical efficacy.
320,C,0.400,contact dermatitis,fluocinolone acetonide,indication,IV-VI,0.5235,1.00,0.5235,0.2094,0.940,0.955,Type C: drug-class analogy from betamethasone (class=D07A). Hypothesis only — class membership ≠ identical efficacy.
321,C,0.400,contact dermatitis,mometasone furoate,indication,IV-VI,0.5235,1.00,0.5235,0.2094,0.940,0.955,Type C: drug-class analogy from betamethasone (class=D07A). Hypothesis only — class membership ≠ identical efficacy.
322,C,0.400,contact dermatitis,methylprednisolone,indication,IV-VI,0.5235,1.00,0.5235,0.2094,0.940,0.955,Type C: drug-class analogy from cortisone acetate (class=H02A). Hypothesis only — class membership ≠ identical efficacy.
323,C,0.400,contact dermatitis,prednisone,indication,IV-VI,0.5235,1.00,0.5235,0.2094,0.940,0.955,Type C: drug-class analogy from cortisone acetate (class=H02A). Hypothesis only — class membership ≠ identical efficacy.
324,C,0.400,contact dermatitis,prednisolone,indication,IV-VI,0.5235,1.00,0.5235,0.2094,0.940,0.955,Type C: drug-class analogy from cortisone acetate (class=H02A). Hypothesis only — class membership ≠ identical efficacy.
325,C,0.400,contact dermatitis,cortisone acetate,indication,IV-VI,0.5235,1.00,0.5235,0.2094,0.940,0.955,Type C: drug-class analogy from methylprednisolone (class=H02A). Hypothesis only — class membership ≠ identical efficacy.
326,C,0.400,basal cell carcinoma,vismodegib,indication,IV-VI,0.5230,1.00,0.5230,0.2092,0.963,0.955,Type C: drug-class analogy from sonidegib (class=L01X). Hypothesis only — class membership ≠ identical efficacy.
327,C,0.400,basal cell carcinoma,sonidegib,indication,IV-VI,0.5230,1.00,0.5230,0.2092,0.963,0.955,Type C: drug-class analogy from vismodegib (class=L01X). Hypothesis only — class membership ≠ identical efficacy.
328,C,0.400,lupus erythematosus,dexamethasone,indication,IV-VI,0.4983,1.00,0.4983,0.1993,0.960,0.958,Type C: drug-class analogy from betamethasone (class=D07A). Hypothesis only — class membership ≠ identical efficacy.
329,C,0.400,lupus erythematosus,fluticasone propionate,indication,IV-VI,0.4983,1.00,0.4983,0.1993,0.960,0.958,Type C: drug-class analogy from betamethasone (class=D07A). Hypothesis only — class membership ≠ identical efficacy.
330,C,0.400,lupus erythematosus,fluocinolone acetonide,indication,IV-VI,0.4983,1.00,0.4983,0.1993,0.960,0.958,Type C: drug-class analogy from betamethasone (class=D07A). Hypothesis only — class membership ≠ identical efficacy.
331,C,0.400,lupus erythematosus,mometasone furoate,indication,IV-VI,0.4983,1.00,0.4983,0.1993,0.960,0.958,Type C: drug-class analogy from betamethasone (class=D07A). Hypothesis only — class membership ≠ identical efficacy.
332,C,0.400,lupus erythematosus,amcinonide,indication,IV-VI,0.4983,1.00,0.4983,0.1993,0.960,0.958,Type C: drug-class analogy from chloroquine (class=). Hypothesis only — class membership ≠ identical efficacy.
333,C,0.400,lupus erythematosus,methylprednisolone,indication,IV-VI,0.4983,1.00,0.4983,0.1993,0.960,0.958,Type C: drug-class analogy from cortisone acetate (class=H02A). Hypothesis only — class membership ≠ identical efficacy.
334,C,0.400,lupus erythematosus,prednisolone,indication,IV-VI,0.4983,1.00,0.4983,0.1993,0.960,0.958,Type C: drug-class analogy from cortisone acetate (class=H02A). Hypothesis only — class membership ≠ identical efficacy.
335,C,0.400,lupus erythematosus,cortisone acetate,indication,IV-VI,0.4983,1.00,0.4983,0.1993,0.960,0.958,Type C: drug-class analogy from methylprednisolone (class=H02A). Hypothesis only — class membership ≠ identical efficacy.
336,C,0.400,tinea corporis,ketoconazole,indication,IV-VI,0.4823,1.00,0.4823,0.1929,0.951,0.960,Type C: drug-class analogy from butenafine (class=D01A). Hypothesis only — class membership ≠ identical efficacy.
337,C,0.400,tinea corporis,ciclopirox,indication,IV-VI,0.4823,1.00,0.4823,0.1929,0.951,0.960,Type C: drug-class analogy from butenafine (class=D01A). Hypothesis only — class membership ≠ identical efficacy.
338,C,0.400,tinea corporis,luliconazole,indication,IV-VI,0.4823,1.00,0.4823,0.1929,0.951,0.960,Type C: drug-class analogy from butenafine (class=D01A). Hypothesis only — class membership ≠ identical efficacy.
339,C,0.400,tinea corporis,naftifine,indication,IV-VI,0.4823,1.00,0.4823,0.1929,0.951,0.960,Type C: drug-class analogy from butenafine (class=D01A). Hypothesis only — class membership ≠ identical efficacy.
340,C,0.400,tinea corporis,salicylic acid,indication,IV-VI,0.4823,1.00,0.4823,0.1929,0.951,0.960,Type C: drug-class analogy from butenafine (class=D01A). Hypothesis only — class membership ≠ identical efficacy.
341,C,0.400,scabies,permethrin,indication,IV-VI,0.4755,1.00,0.4755,0.1902,0.959,0.961,Type C: drug-class analogy from crotamiton (class=P03A). Hypothesis only — class membership ≠ identical efficacy.
342,C,0.400,scabies,lindane,indication,IV-VI,0.4755,1.00,0.4755,0.1902,0.959,0.961,Type C: drug-class analogy from crotamiton (class=P03A). Hypothesis only — class membership ≠ identical efficacy.
343,C,0.400,scabies,phenothrin,indication,IV-VI,0.4755,1.00,0.4755,0.1902,0.959,0.961,Type C: drug-class analogy from crotamiton (class=P03A). Hypothesis only — class membership ≠ identical efficacy.
344,C,0.400,scabies,crotamiton,indication,IV-VI,0.4755,1.00,0.4755,0.1902,0.959,0.961,Type C: drug-class analogy from lindane (class=P03A). Hypothesis only — class membership ≠ identical efficacy.
345,C,0.400,psoriasis,fumaric acid,indication,IV-VI,0.4745,1.00,0.4745,0.1898,0.964,0.961,Type C: drug-class analogy from allantoin (class=). Hypothesis only — class membership ≠ identical efficacy.
346,C,0.400,psoriasis,hydrocortisone acetate,indication,IV-VI,0.4745,1.00,0.4745,0.1898,0.964,0.961,Type C: drug-class analogy from betamethasone (class=D07A). Hypothesis only — class membership ≠ identical efficacy.
347,C,0.400,psoriasis,dexamethasone,indication,IV-VI,0.4745,1.00,0.4745,0.1898,0.964,0.961,Type C: drug-class analogy from betamethasone (class=D07A). Hypothesis only — class membership ≠ identical efficacy.
348,C,0.400,psoriasis,methylprednisolone,indication,IV-VI,0.4745,1.00,0.4745,0.1898,0.964,0.961,Type C: drug-class analogy from cortisone acetate (class=H02A). Hypothesis only — class membership ≠ identical efficacy.
349,C,0.400,psoriasis,prednisone,indication,IV-VI,0.4745,1.00,0.4745,0.1898,0.964,0.961,Type C: drug-class analogy from cortisone acetate (class=H02A). Hypothesis only — class membership ≠ identical efficacy.
350,C,0.400,psoriasis,prednisolone,indication,IV-VI,0.4745,1.00,0.4745,0.1898,0.964,0.961,Type C: drug-class analogy from cortisone acetate (class=H02A). Hypothesis only — class membership ≠ identical efficacy.
351,C,0.400,psoriasis,risankizumab,indication,IV-VI,0.4745,1.00,0.4745,0.1898,0.964,0.961,Type C: drug-class analogy from methotrexate (class=L04A). Hypothesis only — class membership ≠ identical efficacy.
352,C,0.400,psoriasis,ustekinumab,indication,IV-VI,0.4745,1.00,0.4745,0.1898,0.964,0.961,Type C: drug-class analogy from methotrexate (class=L04A). Hypothesis only — class membership ≠ identical efficacy.
353,C,0.400,psoriasis,cortisone acetate,indication,IV-VI,0.4745,1.00,0.4745,0.1898,0.964,0.961,Type C: drug-class analogy from methylprednisolone (class=H02A). Hypothesis only — class membership ≠ identical efficacy.
354,C,0.400,psoriasis,methotrexate,indication,IV-VI,0.4745,1.00,0.4745,0.1898,0.964,0.961,Type C: drug-class analogy from risankizumab (class=L04A). Hypothesis only — class membership ≠ identical efficacy.
355,C,0.400,vitiligo,trioxsalen,indication,IV-VI,0.4442,1.00,0.4442,0.1777,0.958,0.965,Type C: drug-class analogy from methoxsalen (class=D05B). Hypothesis only — class membership ≠ identical efficacy.
356,C,0.400,vitiligo,methoxsalen,indication,IV-VI,0.4442,1.00,0.4442,0.1777,0.958,0.965,Type C: drug-class analogy from trioxsalen (class=D05B). Hypothesis only — class membership ≠ identical efficacy.
357,B,0.000,cutaneous larva migrans,zinc chloride,off-label use,IV-VI,1.3419,9.09,0.1476,0.0000,0.688,0.688,Type B: semantic transfer from 'acrodermatitis enteropathica' (similarity=0.00). Hypothesis only — target disease may differ molecularly.
358,B,0.000,cutaneous larva migrans,zinc gluconate,off-label use,IV-VI,1.3419,9.09,0.1476,0.0000,0.688,0.688,Type B: semantic transfer from 'acrodermatitis enteropathica' (similarity=0.00). Hypothesis only — target disease may differ molecularly.
359,B,0.000,cutaneous larva migrans,zinc sulfate,off-label use,IV-VI,1.3419,9.09,0.1476,0.0000,0.688,0.688,Type B: semantic transfer from 'acrodermatitis enteropathica' (similarity=0.00). Hypothesis only — target disease may differ molecularly.
360,B,0.000,ecthyma,zinc chloride,off-label use,IV-VI,1.3419,9.09,0.1476,0.0000,0.688,0.688,Type B: semantic transfer from 'acrodermatitis enteropathica' (similarity=0.00). Hypothesis only — target disease may differ molecularly.
361,B,0.000,ecthyma,zinc gluconate,off-label use,IV-VI,1.3419,9.09,0.1476,0.0000,0.688,0.688,Type B: semantic transfer from 'acrodermatitis enteropathica' (similarity=0.00). Hypothesis only — target disease may differ molecularly.
362,B,0.000,ecthyma,zinc sulfate,off-label use,IV-VI,1.3419,9.09,0.1476,0.0000,0.688,0.688,Type B: semantic transfer from 'acrodermatitis enteropathica' (similarity=0.00). Hypothesis only — target disease may differ molecularly.
363,B,0.000,epidermodysplasia verruciformis,zinc chloride,off-label use,IV-VI,1.3419,8.33,0.1610,0.0000,0.688,0.688,Type B: semantic transfer from 'acrodermatitis enteropathica' (similarity=0.00). Hypothesis only — target disease may differ molecularly.
364,B,0.000,epidermodysplasia verruciformis,zinc gluconate,off-label use,IV-VI,1.3419,8.33,0.1610,0.0000,0.688,0.688,Type B: semantic transfer from 'acrodermatitis enteropathica' (similarity=0.00). Hypothesis only — target disease may differ molecularly.
365,B,0.000,epidermodysplasia verruciformis,zinc sulfate,off-label use,IV-VI,1.3419,8.33,0.1610,0.0000,0.688,0.688,Type B: semantic transfer from 'acrodermatitis enteropathica' (similarity=0.00). Hypothesis only — target disease may differ molecularly.
366,B,0.000,mongolian spot,zinc chloride,off-label use,IV-VI,1.3419,10.00,0.1342,0.0000,0.688,0.688,Type B: semantic transfer from 'acrodermatitis enteropathica' (similarity=0.00). Hypothesis only — target disease may differ molecularly.
367,B,0.000,mongolian spot,zinc gluconate,off-label use,IV-VI,1.3419,10.00,0.1342,0.0000,0.688,0.688,Type B: semantic transfer from 'acrodermatitis enteropathica' (similarity=0.00). Hypothesis only — target disease may differ molecularly.
368,B,0.000,mongolian spot,zinc sulfate,off-label use,IV-VI,1.3419,10.00,0.1342,0.0000,0.688,0.688,Type B: semantic transfer from 'acrodermatitis enteropathica' (similarity=0.00). Hypothesis only — target disease may differ molecularly.
